HEADING,FREQUENCY,PATENT NUMBER,DISCARDED
EXAMPLE 240,3,4221802,Y
EXAMPLE 226,3,4221802,Y
EXAMPLE 243,3,4221802,Y
EXAMPLE 244,3,4221802,Y
EXAMPLE 225,3,4221802,Y
EXAMPLE 245,3,4221802,Y
EXAMPLE 229,3,4221802,Y
EXAMPLE 224,3,4221802,Y
TEST RESULTS,3,4543339,Y
PREPARATION EXAMPLES,3,4808622,Y
FIELD OF THE INVENTION AND RELATED ART STATEMENT,3,4703670,Y
BRIEF EXPLANATION OF THE DRAWINGS,3,4703670,Y
PHARMACOKINETICS,3,7847062,Y
EXAMPLE 2A,3,5693512,Y
BRIEF DESCRIPTION OF THE DRAWINGS/FIGURES,3,7958431,Y
COMPARATIVE EXAMPLE 1 ,3,7154844,Y
EXAMPLE E,3,4326985,Y
PRIORITY STATEMENT,3,7410913,Y
SECOND EXAMPLE,3,7233075,Y
EXAMPLE 239,3,4221802,Y
CROSS REFERENCE TO RELATED PATENT APPLICATION,3,6075475,Y
EXPERIMENT 10,2,5576303,Y
THE BEST MODE FOR CARRYING OUT THE INVENTION,2,7498579,Y
EXAMPLES 18-25,2,6812317,Y
REFERENCE EXAMPLE 8,2,7956026,Y
EXAMPLES 2-19,2,4880916,Y
CHOCOLATE,2,5576303,Y
CHEWING GUM,2,5576303,Y
COMPARATIVE EXPERIMENT B,2,4517277,Y
COMPARATIVE EXPERIMENT A,2,4517277,Y
HARD CANDY,2,5576303,Y
CUSTARD CREAM,2,5576303,Y
PREPARATION OF FORMALIN INACTIVATED E. CANIS FOR IMMUNIZATION INTO DOGS,2,7888054,Y
COMPARATIVE EXAMPLE 21,2,8492308,Y
COMPARATIVE EXAMPLE 19,2,8492308,Y
TEST EXAMPLE 2,2,4895555,Y
SACCHARIDE SOLUTION CONTAINING KOJIBIOSE,2,6140487,Y
MODES OF CARRYING OUT THE INVENTION,2,5686569,Y
COMPARATIVE EXAMPLE 22,2,8492308,Y
COMPARATIVE EXAMPLE 23,2,8492308,Y
REFERENTIAL EXAMPLE 5,2,5081243,Y
EXAMPLE 8 ,2,7271185,Y
REFERENTIAL EXAMPLE 7,2,5081243,Y
INVENTIVE EXAMPLE 3,2,6875144,Y
SYNTHESIS EXAMPLE 6,2,5597861,Y
(2) SECOND EMBODIMENT,2,7903340,Y
REFERENCE EXAMPLE 5,2,7956026,Y
COMPARATIVE EXAMPLE 26,2,8492308,Y
BEST MODE OF THE INVENTION,2,4492862,Y
ACUTE TOXICITY TEST,2,5576303,Y
DESCRIPTION OF THE RELEVANT ART,2,5663956,Y
EXPERIMENT 5,2,5576303,Y
I. DEFINITIONS OF PLANT CHARACTERISTICS,2,8614375,Y
STATEMENT RE: FEDERALLY SPONSORED RESEARCH/DEVELOPMENT,2,6801808,Y
EXPERIMENT 6,2,5576303,Y
FUNCTIONS,2,5022076,Y
DESCRIPTION OF THE DRAWING(S),2,7270833,Y
EXAMPLES 18 TO 21,2,4657996,Y
COMPARATIVE EXAMPLE 18,2,8492308,Y
REFERENTIAL EXAMPLE 4,2,5081243,Y
FIRST EXAMPLE,2,7233075,Y
EXAMPLES 5,2,5021240,Y
5.3 EXAMPLE 3,2,6653130,Y
EXAMPLE #6,2,7582702,Y
B. LIQUID CRYSTALLINE POLYMER FORMATION,2,4882402,Y
COMPARATIVE EXAMPLE 25,2,8492308,Y
5.2 EXAMPLE 2,2,6653130,Y
PRIORITY APPLICATIONS,2,7900407,Y
4. BRIEF DESCRIPTION OF THE FIGURES,2,5583046,Y
(1) FIRST EMBODIMENT,2,7903340,Y
COMPARATIVE EXAMPLE 24,2,8492308,Y
RELATED APPLICATIONS ,2,7459375,Y
SYNTHESIS,2,7468440,Y
(3) THIRD EMBODIMENT,2,7903340,Y
POLYMERIZATION OF PROPYLENE,2,4725656,Y
FIG. 2,2,4020381,Y
BACKGROUND OF THE INVENTIONS,2,6972161,Y
TWELFTH EMBODIMENT,2,5712810,Y
CROSS REFERENCE TO PRIOR APPLICATIONS,2,8951820,Y
LEGEND,2,7285031,Y
REFERENTIAL EXAMPLE 8,2,5081243,Y
SYNTHESIS EXAMPLE 4,2,7964641,Y
INTRODUCTION AND BACKGROUND,2,4540858,Y
CAPSULES,2,4906663,Y
STEP 2,2,4713194,Y
STEP 3,2,4713194,Y
FORMULATION EXAMPLE 2,2,4906663,Y
SYNTHESIS EXAMPLE 5,2,7964641,Y
EMBODIMENT OF FIG. 21,2,5588277,Y
SYNTHESIS EXAMPLE 7,2,7964641,Y
MODE FOR CARRYING OUT THE INVENTION,2,6607662,Y
REFERENCE,2,5018913,Y
EXPERIMENTAL EXAMPLE 5,2,8716718,Y
EXAMPLE 6 ##STR11##,2,4808622,Y
EXAMPLE 354,2,5880241,Y
TENTH EMBODIMENT,2,5712810,Y
STATEMENT AS TO RIGHTS TO INVENTIONS MADE UNDER FEDERALLY SPONSORED RESEARCH OR DEVELOPMENT,2,7773227,Y
DETAILED DESCRIPTION OF THE DRAWINGS AND PRESENTLY PREFERRED EMBODIMENTS,2,7127304,Y
EXAMPLE #8,2,7582702,Y
THE THIRD EMBODIMENT,2,8676202,Y
EXAMPLE #9,2,7582702,Y
PREPARATION 7,2,4200581,Y
EXAMPLE #7,2,7582702,Y
EXAMPLES 6-8,2,5567411,Y
INVENTIVE EXAMPLE 2,2,6875144,Y
ALTERNATE EMBODIMENTS,2,5948475,Y
THE MICROORGANISM,2,4728609,Y
INVENTIVE EXAMPLE 1,2,6875144,Y
CATALYST PREPARATION,2,6071847,Y
BIOLOGICAL ASSAYS,2,6602872,Y
RELATED PATENT APPLICATION,2,5726007,Y
COATING,2,4047533,Y
2. BACKGROUND,2,7335909,Y
BRIEF DESCRIPTION OF THE DRAWINGS ,2,7334567,Y
REFERENTIAL EXAMPLE 6,2,5081243,Y
STATEMENT OF THE INVENTION,2,4076346,Y
EXAMPLE #5,2,7582702,Y
EXAMPLE F,2,4326985,Y
EXAMPLES 12-14,2,4356277,Y
EXAMPLE G,2,4326985,Y
EXAMPLE 4A,2,6441230,Y
RELATED INVENTION,2,5355921,Y
FIG. 1,2,4020381,Y
EXAMPLE 11A,2,6527818,Y
EXAMPLES 4-5,2,5567411,Y
MODE FOR THE INVENTION,2,7973600,Y
EXAMPLES 3-4,2,4892555,Y
EXAMPLE #4,2,7582702,Y
EXAMPLE 2-3,2,6231873,Y
PRIOR ART DOCUMENTS,2,8969478,Y
ELEVENTH EMBODIMENT,2,5712810,Y
EXPERIMENT 4,2,5576303,Y
DETAILED DESCRIPTION OF THE SPECIFIC EMBODIMENTS,2,7780119,N
DESCRIPTION OF THE EMBODIMENT,2,4654934,N
DETAILED DESCRIPTION OF AN EMBODIMENT OF THE INVENTION,2,6860632,N
OBJECTIVES AND SUMMARY OF THE INVENTION,2,5749682,N
DETAILED DISCUSSION,2,6806063,N
THE PRESENT INVENTION,2,4222458,N
PREFERRED EMBODIMENT,2,4641827,N
ADVANTAGE OF THE INVENTION,2,8433328,N
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENTS ,2,7141554,N
III. SUMMARY OF THE INVENTION,2,7153575,N
BRIEF SUMMARY OF THE PRESENT INVENTION,2,4691857,N
BRIEF DISCLOSURE OF THE INVENTION,2,6867031,N
OBJECTS,2,4142867,N
DETAILED DESCRIPTION OF THE VARIOUS EMBODIMENTS,2,7501939,N
DETAILED DISCLOSURE,2,4840905,N
DESCRIPTION OF SPECIFIC EMBODIMENT,2,4366615,N
SUMMARY AND OBJECT OF THE INVENTION,2,4823329,N
BACKGROUND AND SUMMARY OF THE INVENTION,2,4055386,N
BRIEF DESCRIPTION OF A PREFERRED EMBODIMENT,2,5478544,N
FIELD OF THE INVENTION ,2,7334567,N
OBJECTS AND ADVANTAGES OF THE INVENTION,2,4222458,N
OBJECTS AND BRIEF SUMMARY OF THE INVENTION,2,4207754,N
DESCRIPTION OF EMBODIMENTS OF THE INVENTION,2,6880227,N
GENERAL DESCRIPTION OF THE INVENTION,2,5209460,N
DETAILED DESCRIPTION OF THE PRESENTLY PREFERRED EXEMPLARY EMBODIMENTS,2,5515831,N
BRIEF SUMMARY OF THE DISCLOSURE,2,7310999,N
DESCRIPTION OF THE PREFERRED EMBODIMENTS OF THE INVENTION,2,6303629,N
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENTS OF THE PRESENT INVENTION,2,5024313,N
MEANS FOR SOLVING THE PROBLEM,2,8553733,N
FIELD OF DISCLOSURE,2,7352275,N
DETAILED DESCRIPTION OF VARIOUS EMBODIMENTS,2,8069315,N
DESCRIPTION OF EXEMPLARY EMBODIMENTS,2,7354162,N
DETAILED DESCRIPTION OF THE INVENTION AND PREFERRED EMBODIMENTS,2,6951647,N
EMBODIMENT,2,5226403,N
DETAILED DESCRIPTION OF THE INVENTION AND PREFERRED EMBODIMENTS THEREOF,2,5374050,N
OBJECT,2,6129927,N
PROBLEM TO BE SOLVED,2,7457498,N
BACKGROUND--FIELD OF INVENTION,2,4953783,N
SUMMARY OF THE INVENTIONS,2,7158857,N
FEATURES OF THE INVENTION,2,5309702,N
DESCRIPTION OF THE DISCLOSED EMBODIMENT,2,4139766,N
DETAILED DESCRIPTION AND EMBODIMENTS,1,4129530,N
DESCRIPTION OF A PREFERRED EMBODIMENT OF THE INVENTION,1,4021723,N
DETAILED DESCRIPTION OF THE PREFERRED FORM OF THE INVENTION,1,4105374,N
DESCRIPTION OF THE EXEMPLARY EMBODIMENT,1,4118048,N
FIELD OF APPLICATION OF THE INVENTION,1,4122289,N
SUMMARY OF DISCLOSURE,1,4364961,N
SUMMARY OF THE PREFERRED EMBODIMENTS OF THE INVENTION,1,4249331,N
DETAILED DISCUSSION OF THE PREFERRED EMBODIMENTS,1,4284222,N
GENERAL DESCRIPTION OF INVENTION,1,4364961,N
DESCRIPTIONS OF THE PREFERRED EMBODIMENTS,1,4377273,N
NATURE OF THE INVENTION,1,4682433,N
BRIEF STATEMENT OF THE INVENTION,1,4390260,N
ASPECTS OF THE INVENTION,1,4021723,N
DETAILED DESCRIPTION OF EXEMPLARY EMBODIMENTS,1,8742411,N
SUMMARY THE INVENTION,1,6942404,N
THE USEFULNESS OF THE INVENTION.,1,4698137,N
DETAILED DESCRIPTION OF ILLUSTRATED EMBODIMENTS,1,4781564,N
SUMMARY OF THE INVENTION (DISCLOSURE OF THE INVENTION),1,5473904,N
BRIEF DESCRIPTION OF THE DRAWING FIGURES,1,5443369,N
OBJECTS AND SUMMARY,1,5437895,N
PREFERRED MODE FOR CARRYING OUT THE INVENTION,1,5431286,N
TECHNICAL FIELD OF INVENTION,1,5413802,N
INTRODUCTION OF THE DRAWINGS,1,5400044,N
DETAILED DESCRIPTION OF THE PREFERABLE EMBODIMENTS,1,5384460,N
OBJECTS AND ADVANTAGES,1,5278554,N
DETAILED DESCRIPTION OF PREFERRED EMBODIMENT OF INVENTION,1,5255340,N
PROBLEMS,1,5226403,N
DESCRIPTION OF THE INVENTION AND SOME EMBODIMENTS THEREOF,1,4446166,N
DETAILED DESCRIPTION INCLUSIVE OF PREFERRED EMBODIMENTS,1,4420617,N
BENEFITS RELATING TO THE INVENTION,1,6177282,N
DESCRIPTION OF A PREFERRED EMPBODIMENT,1,4478269,N
DETAILED DESCRIPTION OF THE PRESENTLY PREFERRED EMBODIMENT OF THE INVENTION,1,4486850,N
EXPLANATION OF THE PREFERRED EMBODIMENTS,1,6353316,N
A DETAILING DESCRIPTION OF THE PREFERRED EMBODIMENTS,1,6338187,N
DESCRIPTION OF PRESENTLY PREFERRED EMBODIMENTS,1,6335824,N
OBJECT OF INVENTION,1,6292597,N
DESCRIPTION OF THE BEST MODE AND PREFERRED EMBODIMENTS,1,6285197,N
DESCRIPTION OF PREFERRED FORMS,1,6220410,N
DESCRIPTION OF PREFERRED EMBODIMENTS AND BEST MODE,1,6213119,N
BRIEF DESCRIPTION OF THE PREFERRED EMBODIMENT,1,5134659,N
DESCRIPTION OF TEE PREFERRED EMBODIMENTS,1,5504619,N
DESCRIPTION OF INVENTION,1,5497855,N
DETAILED DESCRIPTION OF THIS INVENTION,1,5491633,N
DETAILED DESCRIPTION OF THE PERFORMED EMBODIMENTS,1,5486053,N
OBJECTS AND EMBODIMENTS,1,4665272,N
DESCRIPTION OF THE ILLUSTRATED EMBODIMENT,1,4664432,N
[UTILIZATION IN INDUSTRY],1,4656105,N
[DISCLOSURE OF THE INVENTION],1,4656105,N
[FIELD OF TECHNOLOGY],1,4656105,N
DESCRIPTION OF THE PRESENT INVENTION,1,4655861,N
OPERATION OF THE INVENTION,1,4620510,N
DESCRIPTION OF ONE SPECIFIC PREFERRED EMBODIMENT OF THE INVENTION,1,4566239,N
BROAD DESCRIPTION OF THE INVENTION,1,4561985,N
BEST MODE FOR CARRYING OUT INVENTION,1,4518360,N
THE DISCLOSURE OF THE INVENTION,1,4518360,N
DESCRIPTION OF GENERAL EMBODIMENT,1,4512682,N
MODE OF OPERATION,1,4498553,N
PARTICULAR DESCRIPTION OF THE INVENTION,1,5165702,N
DESCRIPTION OF THE PREFERRED SPECIFIC EMBODIMENTS,1,6005004,N
DETAILS OF THE PREFERRED EMBODIMENT,1,5065930,N
TECHNICAL OBJECT,1,8969478,N
ADVANTAGEOUS EFFECT OF THE INVENTION,1,7893428,N
DETAILED DESCRIPTION OF EMBODIMENTS OF THE PRESENT INVENTION,1,7889726,N
DETAILED DESCRIPTION OF THE EMBODIMENTS OF THE INVENTION,1,8936560,N
DETAILED DESCRIPTION OF PREFERRED AND OTHER EXEMPLARY EMBODIMENTS,1,7879424,N
THE MOST PREFERRED EMBODIMENT TO CARRY OUT THE INVENTION,1,7829206,N
THE EFFECT OF THE INVENTION,1,7829206,N
MEANS FOR OVERCOMING THE PROBLEMS,1,7829206,N
PROBLEMS TO BE OVERCOME BY THE INVENTION,1,7829206,N
DETAILED DESCRIPTION OF THE PREFERRED MODE,1,7803270,N
FIELD OF THE TECHNOLOGY,1,7792939,N
SUMMARY AND ADVANTAGES OF THE INVENTION,1,7775036,N
SYSTEM,1,7760955,N
METHOD,1,7760955,N
FIELD OF THE IVNENTION,1,5013219,N
"FIELD IN QUESTION, PROBLEM POSED",1,7760955,N
DESCRIPTION OF THE PREFERRED,1,7749722,N
DETAILED DESCRIPTION OF PREFERRED & ALTERNATIVE EMBODIMENTS,1,7748155,N
TECHNICAL FIELD AND INDUSTRIAL APPLICABILITY OF THE INVENTION,1,7743644,N
PROBLEMS THAT INVENTION IS TO SOLVE,1,7739504,N
INDUSTRIAL APPLICATION OF INVENTION,1,8197864,N
ORIGIN OF INVENTION,1,7704622,N
FIELD OF THE APPLICATION,1,8215178,N
DETAILED DESCRIPTION OF SAMPLE EMBODIMENTS,1,8251387,N
GENERAL DESCRIPTION,1,8842222,N
DETAILED DESCRIPTION OF THE APPLICATION,1,8846009,N
BEST MODE FOR EMBODYING THE INVENTION,1,8890479,N
I. THE PRESENT INVENTION,1,7951542,N
MEANS FOR THE SOLUTION OF THE PROBLEMS,1,7956026,N
PREFERRED EMBODIMENTS,1,7957543,N
DETAILED DISCUSSION OF EMBODIMENTS,1,8011701,N
DESCRIPTION F THE PREFERRED EMBODIMENTS,1,4998376,N
DETAILED DESCRIPTION OF A SPECIFIC EMBODIMENT OF THE INVENTION,1,4994138,N
DETAILED DESCRIPTION AND PREFERRED EMBODIMENT,1,4961852,N
DETAILED DESCRIPTION OF SECOND CONFIGURATION,1,4953783,N
DETAILED DESCRIPTION OF FIRST CONFIGURATION,1,4953783,N
OBJECTIVES AND ADVANTAGES,1,4953783,N
DETAIL DESCRIPTION OF THE PREFERRED EMBODIMENTS,1,4943857,N
DETAILED DESCRIPTION OF THE EMBODIMENTS:,1,4881002,N
BRIEF DESCRIPTION OF THE INVENTION:,1,4881002,N
DETAILED DESCRIPTION OF THE INVENTION AND THE PREFERRED EMBODIMENTS,1,4871820,N
DETAILED DESCRIPTION OF EMBODIMENT,1,4854652,N
USE AND OPERATION,1,4834459,N
OPERATIONS,1,4832262,N
DETAILED DISCLOSURE OF THE ILLUSTRATED EMBODIMENT,1,4788874,N
OBJECT AND SUMMARY OF THE PRESENT INVENTION,1,4788874,N
DETAILED DESCRIPTION ACCORDING TO THE PREFERRED EMBODIMENTS OF THE PRESENT INVENTION,1,4775584,N
BEST MODE(S) FOR CARRYING OUT THE INVENTION,1,6950421,N
DESCRIPTION OF THE PREFFERRED EMBODIMENTS,1,6355186,N
FIELD THE INVENTION,1,7863632,N
MODE FOR INVENTION,1,8142932,N
BEST MODE,1,8142932,N
DETALED DESCRIPTION OF INVENTION,1,8091412,N
DETAILED DESCRIPTION OF EMBODIMENTS ACCORDING TO THE INVENTION,1,6983106,N
DETAILED DESCRIPTION OF SELECTED EMBODIMENTS,1,8070206,N
UTILITY AND PRACTICAL APPLICATIONS,1,8058065,N
DISCUSSION OF THE INVENTION,1,6354722,N
USE OF THE INVENTION,1,6080539,N
TECHNICAL FILED,1,6370414,N
DETAILED DESCRIPTION OF WORKING EMBODIMENT,1,8464583,N
DESCRIPTION OF PREFERRED EMBODIMENT OF THE INVENTION,1,7699636,N
DESCRIPTION OF VARIOUS EMBODIMENTS,1,7304146,N
PRACTICAL INDUSTRIAL APPLICABILITY,1,7312400,N
DETAILED DESCRIPTION ,1,7334567,N
BEST MODE OF CARRYING OUT INVENTIONS,1,7347642,N
SUMMARY ,1,7420923,N
SUMMARY OF THE PREFERRED EMBODIMENTS,1,7437570,N
DESCRIPTION OF THE EXEMPLARY EMBODIMENT:,1,7658640,N
FIELD OF THE TECHNOLOGY INVENTION,1,8842593,N
EFFECT,1,8969478,N
DETAILED DESCRIPTION OF THE BEST MODES,1,8244083,N
DETAILED DESCRIPTION OF CERTAIN ASPECTS AND EMBODIMENTS,1,8412619,N
MEANS TO SOLVE THE PROBLEMS,1,8492308,N
DETAILED DESCRIPTION OF DIFFERENT EMBODIMENTS,1,6389995,N
I. FIELD OF THE INVENTION,1,8499514,N
PROBLEMS INVENTION AIMS TO SOLVE,1,8507585,N
MEANS FOR SOLUTION OF THE PROBLEMS,1,8507585,N
EFFECTS OF INVENTION,1,8507585,N
SUMMARY OF CERTAIN INVENTIVE ASPECTS,1,8513665,N
DETAILED DESCRIPTION OF CERTAIN INVENTIVE EMBODIMENTS,1,8513665,N
DETAILED DESCRIPTION OF A DETAILED EMBODIMENT OF THE INVENTION,1,8543909,N
SUMMARY OF THE UTILITY MODEL,1,8561826,N
TOTAL OF THE INVENTION,1,8575693,N
SOLUTION PROBLEM,1,8586523,N
TECHNICAL FIELD AND BACKGROUND INFORMATION,1,8623316,N
DETAILED DESCRIPTION OF DISCLOSED EMBODIMENTS,1,8633708,N
DESCRIPTION OF A PREFERRED EMBODIMENT ,1,7267598,N
TECHNICAL FIELD OF THE INVENTION ,1,7253064,N
BEST MODES FOR CARRYING OUT INVENTION,1,7251631,N
UTILITY,1,7169771,N
SUMMARY DESCRIPTION OF THE INVENTION,1,7513501,N
DETAILED DESCRIPTION OF THE FIGURES,1,7607092,N
DETAILED DESCRIPTIONS OF THE PREFERRED EMBODIMENTS,1,8970198,N
DISCUSSION OF THE PREFERRED EMBODIMENT,1,7590889,N
FIELD OF THE PRESENT INVENTION,1,7482502,N
DESCRIPTION OF EMBODIMENTS PREFERRED AT THE TIME OF FILING FOR THIS PATENT,1,7484625,N
TECHNICAL AREA OF THE INVENTION,1,7498143,N
DETAILED DESCRIPTION OF THE INVENTION ,1,7619088,N
INTRODUCTORY SUMMARY,1,7624125,N
DESCRIPTION OF THE PREFERED EMBODIMENTS,1,7613431,N
DESCRIPTION OF PREFERRED EMBODIMENTS OF THE PRESENT INVENTION,1,7290346,N
DETAILED DESCRIPTION OF THE EXEMPLARY EMBODIMENTS OF THE INVENTION,1,7456112,N
DETAILED DESCRIPTION OF PREFERRED EMBODIMENT(S),1,7447558,N
PRINCIPAL OBJECTS OF THE INVENTION,1,6993322,N
FURTHER EMBODIMENTS OF THE INVENTION,1,7045689,N
PROBLEMS TO BE RESOLVED BY THE INVENTION,1,9029845,N
DETAILED DESCRIPTION OF THE DRAWINGS AND OF THE PREFERRED EMBODIMENT,1,7069229,N
MODES FOR CARRYING OUT THE INVENTION,1,7081415,N
CONCEPTS EXPLAINING A DISABLING ELECTRICAL SHOCK,1,7096792,N
DESCRIPTION IF THE DRAWINGS,1,7119739,N
DETAILED DESCRIPTION—PREFERRED EMBODIMENT,1,7129596,N
"UTILITY, TESTING AND ADMINISTRATION",1,7144871,N
V. DESCRIPTION OF THE PREFERRED EMBODIMENTS,1,7153575,N
SUMMARY OF THE EMBODIMENTS,1,8971651,N
BACKGROUND AND SUMMARY,1,7168139,N
DETAILED DESCRIPTION OF REPRESENTATIVE EMBODIMENTS,1,8663710,N
SUMMARY OF EMBODIMENTS,1,8671609,N
SHORT SUMMARY OF THE INVENTION,1,8700501,N
DESCRIPTION OF THE PREFERRED EMBODIMENT (BEST MODE FOR PRACTICING THE INVENTION),1,5575362,N
DETAIL DESCRIPTION OF THE PREFERRED EMBODIMENT,1,5537888,N
DETAILED DESCRIPTION OF THE ILLUSTRATED EMBODIMENT,1,5526050,N
ADVANTAGES,1,5525429,N
BACKGROUND AND FIELD OF INVENTION,1,5523529,N
SPECIFICATION,1,5523529,N
SUMMARY OF THE INVENTION WITH OBJECTS,1,5790337,N
INDUSTRIAL UTILIZABILITY,1,6049146,N
DETAILED DESCRIPTION OF THE SPECIFIC EMBODIMENT,1,6088774,N
PREFERRED EMBODIMENTS OF THE INVENTION IN BEST MODE,1,6921964,N
DESCRIPTION OF A PRESENTLY PREFERRED EMBODIMENT OF THE DISCLOSED INVENTION AND METHOD FOR PRACTICING THE SAME,1,6907913,N
FURTHER DETAILED DESCRIPTION OF THE INVENTION,1,6858750,N
DETAIL DESCRIPTION OF THE PREFERRED EMBODIMENT(S),1,6842881,N
FILED OF THE INVENTION,1,6806063,N
DETAILED DESCRIPTION OF PREFERRED FORMS,1,6694616,N
DETAILED DESCRIPTION OF THE PRESENTLY PREFERRED EMBODIMENT,1,6682331,N
CAPABILITY OF EXPLOITATION IN INDUSTRY,1,6656818,N
SUMMARY AND DESCRIPTION OF THE INVENTION,1,6649134,N
DETAILED DESCRIPTION OF THE CURRENTLY PREFERRED EMBODIMENTS,1,6598142,N
DETAILED DESCRIPTION OF THE PREFERRED METHOD,1,6580984,N
INDUSTRIAL UTILITIES,1,6528156,N
DETAILED DESCRIPTION OF THE ILLUSTRATIVE EMBODIMENTS,1,6526588,N
DESCRIPTION OF REFERENCE NUMERALS,1,6506469,N
DESCRIPTION OF THE ILLUSTRATED EMBODIMENTS,1,6464165,N
DESCRIPTION OF CERTAIN PREFERRED EMBODIMENTS,1,6448443,N
DETAILED DESCRIPTION OF THE IVENTION,1,6442941,N
SUMMARY AND DETAILED DESCRIPTION OF THE INVENTION,1,5554621,N
SUMMARY OF THE INVENTION AND DESCRIPTION OF THE PREFERRED EMBODIMENTS,1,5696157,N
INDUSTRIAL APPLICABILITY ,1,8704253,N
DESCRIPTION OF THE FIRST EMBODIMENT,1,5722799,N
STATEMENTS OF INVENTION,1,8729905,N
FIELD OF THE DISCLOSED TECHNOLOGY,1,8730267,N
SUMMARY OF THE DISCLOSED TECHNOLOGY,1,8730267,N
DETAILED DESCRIPTION OF EMBODIMENTS OF THE DISCLOSED TECHNOLOGY,1,8730267,N
DETAILED DESCRIPTION OF THE INVENTION INCLUDING THE PRESENTLY PREFERRED EMBODIMENTS,1,8917867,N
MEANS OF SOLVING THE PROBLEMS,1,9029845,N
OBJECTIVES OF THE INVENTION,1,6005004,N
SPECIFIC EMBODIMENTS,1,5998471,N
ASSAY OF RETINOID-LIKE BIOLOGICAL ACTIVITY,1,5998471,N
MODES OF ADMINISTRATION,1,5998471,N
GENERAL EMBODIMENTS,1,5998471,N
BRIEF DESCRIPTION OF THE EMBODIMENT,1,5990095,N
SUMMARY OF THE INVETION,1,5990095,N
BRIEF DISCLOSURE OF INVENTION,1,5931051,N
PREFERRED EMBODIMENTS OF THE PRESENT INVENTION,1,5884559,N
DETAILS OF THE INVENTION,1,5880241,N
DETAILED EXPLANATION OF THIS INVENTION,1,5839432,N
BRIEF EXPLANATION OF THE INVENTION,1,5839432,N
DESCRIPTION OF THE PREFERRED PARTICULAR EMBODIMENTS,1,5829048,N
DETAILED DESCRIPTION OF A PRESENTLY PREFERRED EXEMPLARY EMBODIMENT,1,6014651,N
DETAILED DESCRIPTION OF A PREFERRED EMBODIMENT OF THE PRESENT INVENTION,1,5824028,N
OBJECTS AND BRIEF SUMMARY OF THE PRESENT INVENTION,1,5765588,N
BRIEF SUMMARY AND OBJECTS OF THE INVENTION,1,5752850,N
DESCRIPTION OF THE MODIFIED FIRST EMBODIMENT,1,5722799,N
DESCRIPTION OF THE SECOND EMBODIMENT,1,5722799,N
MEANS FOR SOLVING PROBLEM,1,8735771,N
